 Datum ; Tijd ; Team thuis ; Team uit ; Zaal ; Fluiten ; Tellen 
;;;; Inclusief opbouwen ; D7 ; x 
;;;;; D7 ; MC5 
;;;;; H9 ; MC5 
;;;;; D8 ; MC8 
;;;;; x ; MC8 
;;;; inclusief opruimen ; MA3 ; JC2 
;;;; inclusief opruimen ; MA3 ; x 
;;;; inclusief opruimen ; MA3 ; x 
;;;;;;
;;;;;;
 45.358,00 ; 0,83 ; AETOS DS 5 ; WaHo DS 2 ; Valkenhuizen ; D6 ; D3 
 45.358,00 ; 0,83 ; AETOS HS 4 ; SSS HS 6 ; Valkenhuizen ; D7 ; H1 
;;;;;;
;;;;;;
;;;;;;
 45.360,00 ; 0,42 ; AETOS JC 1 ; AETOS JC 2 ; Sporthal Middachtensingel ; D7 ; JA1 
 45.360,00 ; 0,42 ; AETOS MB 2 ; Trivos MB 2 ; Sporthal Middachtensingel ; JA1 ; JA1 
 45.360,00 ; 0,42 ; AETOS MC 4 ; TweeVV MC 1 ; Sporthal Middachtensingel ; MA2 ; MA2 
 45.360,00 ; 0,50 ; AETOS DS 7 ; Set Up '69 DS 4 ; Sporthal Middachtensingel ; H3 ; JC1 
 45.360,00 ; 0,50 ; AETOS JA 1 ; Voorsterslag/VC Zwolle JA 1 ; Sporthal Middachtensingel ; H3 ; JC2 
 45.360,00 ; 0,50 ; AETOS MA 2 ; Voreo MA 1 ; Sporthal Middachtensingel ; H8 ; MB2 
 45.360,00 ; 0,60 ; AETOS DS 2 ; SSS DS 4 ; Sporthal Middachtensingel ; H1 ; MB1 
 45.360,00 ; 0,60 ; AETOS HS 3 ; Pegasus HS 4 ; Sporthal Middachtensingel ; H2 ; MB1 
 45.360,00 ; 0,60 ; AETOS JB 1 ; ESV-Hellas JB 1 ; Sporthal Middachtensingel ; MA2 ; MA2 
 45.360,00 ; 0,69 ; AETOS HS 1 ; Ikvolleybal.nl/SSS HS 3 ; Sporthal Middachtensingel ; x ; JB1 
 45.360,00 ; 0,69 ; AETOS MB 1 ; SDS MB 1 ; Sporthal Middachtensingel ; MA1 ; H4 
;;;;;;
 45.360,00 ; 0,77 ; AETOS DS 10 ; N.V.C. DS 4 ; Sporthal Middachtensingel ; H1 ; H1 
 45.360,00 ; 0,77 ; AETOS HS 2 ; Heyendaal HS 2 ; Sporthal Middachtensingel ; H3 ; D5 
 45.360,00 ; 0,77 ; AETOS MA 1 ; SV Dynamo Apeldoorn MA 1 ; Sporthal Middachtensingel ; H1 ; MB1 
;;;;;;
;;;;;;
 45.365,00 ; 0,79 ; AETOS JB 2 ; Bruvoc JB 1 ; Valkenhuizen ; D10 ; H6 
 45.365,00 ; 0,83 ; AETOS DS 5 ; TiVoC DS 1 ; Valkenhuizen ; H5 ; H2 
 45.365,00 ; 0,83 ; AETOS DS 8 ; DIAVO DS 5 ; Valkenhuizen ; D4 ; D11 
;;;;;;
 45.366,00 ; 0,90 ; AETOS HS 5 ; Woudenberg HS 2 ; De Laar ; D5 ; H7 
 45.366,00 ; 0,83 ; AETOS DS 4 ; Woudenberg DS 2 ; Sporthal Elderveld ; D5 ; H4 
 45.366,00 ; 0,79 ; AETOS JC 4 ; Skopein Wivoc JC 2 ; Sporthal Middachtensingel ; D11 ; MA1 
;;;;;;
 45.367,00 ; 0,42 ; AETOS MA 3 ; Excelsior MA 1 ; Sporthal Middachtensingel ; D3 ; JC2 
 45.367,00 ; 0,42 ; AETOS MC 5 ; BSVO MC 1 ; Sporthal Middachtensingel ; JA2 ; JC2 
 45.367,00 ; 0,42 ; AETOS MC 9 ; Gemini MC 1 ; Sporthal Middachtensingel ; JA2 ; JC2 
 45.367,00 ; 0,50 ; AETOS DS 3 ; VVH DS 3 ; Sporthal Middachtensingel ; H6 ; MC9 
 45.367,00 ; 0,50 ; AETOS JA 2 ; Time Out'75 JA 1 ; Sporthal Middachtensingel ; H6 ; MC9 
 45.367,00 ; 0,50 ; AETOS JC 2 ; Volta JC 1 ; Sporthal Middachtensingel ; MA3 ; MA3 
 45.367,00 ; 0,60 ; AETOS HS 6 ; Gemini HS 4 ; Sporthal Middachtensingel ; D1 ; JC3 
 45.367,00 ; 0,60 ; AETOS MB 5 ; Excelsior MB 1 ; Sporthal Middachtensingel ; H2 ; JC3 
 45.367,00 ; 0,60 ; AETOS MC 1 ; Avior MC 1 ; Sporthal Middachtensingel ; MA3 ; MB3 
 45.367,00 ; 0,69 ; AETOS JC 3 ; D.O.S. JC 1 ; Sporthal Middachtensingel ; MA4 ; MB5 
 45.367,00 ; 0,69 ; AETOS MB 3 ; LIVO MB 1 ; Sporthal Middachtensingel ; MA4 ; MB5 
;;;;;;
 45.367,00 ; 0,77 ; AETOS DS 1 ; Rebo Woningmakelaars Rebelle DS 2 ; Sporthal Middachtensingel ; x ; MB3 
 45.367,00 ; 0,77 ; AETOS MA 4 ; Evoba MA 1 ; Sporthal Middachtensingel ; D3 ; MB3 
 45.367,00 ; 0,77 ; AETOS MB 4 ; Xanthos MB 1 ; Sporthal Middachtensingel ; D6 ; JC3 
;;;;;;
 45.367,00 ;; CMV ; De Laar ;;;
;;; Tessa (organisatie) ;; D2 ; D2 
;;;; Inclusief opbouwen ; JA2 ; x 
;;;; Inclusief opbouwen ; JA2 ; x 
;;;; Inclusief opbouwen ; JA2 ; x 
;;;;; H2 ; MC7 
;;;;; H2 ; MC7 
;;;; inclusief opruimen ; D11 ; MC6 
;;;; inclusief opruimen ; D11 ; MC6 
;;;; inclusief opruimen ; D10 ; MC6 
;;;; inclusief opruimen ; D10 ; x 
;;;;;;
;;;;;;
 45.372,00 ; 0,79 ; AETOS MA 1 ; Weekenders MA 1 ; Valkenhuizen ; D10 ; D11 
 45.372,00 ; 0,83 ; AETOS HS 4 ; Dros-Alterno HS 5 ; Valkenhuizen ; H9 ; H8 
;;;;;;
 45.373,00 ; 0,79 ; AETOS MC 4 ; TweeVV MC 2 ; Sporthal Middachtensingel ; MA1 ; MA1 
;;;;;;
 45.374,00 ; 0,42 ; AETOS MA 2 ; TweeVV MA 1 ; Sporthal Middachtensingel ; H4 ; MA4 
 45.374,00 ; 0,42 ; AETOS MB 2 ; Weekenders MB 1 ; Sporthal Middachtensingel ; MA1 ; MA4 
 45.374,00 ; 0,42 ; AETOS MC 7 ; Pegasus MC 2 ; Sporthal Middachtensingel ; MA1 ; JA1 
 45.374,00 ; 0,50 ; AETOS DS 7 ; Surf DS 3 ; Sporthal Middachtensingel ; D5 ; MC7 
 45.374,00 ; 0,50 ; AETOS DS 10 ; HSC DS 3 ; Sporthal Middachtensingel ; H4 ; MC7 
 45.374,00 ; 0,50 ; AETOS MA 4 ; Voreo MA 2 ; Sporthal Middachtensingel ; D11 ; MC2 
 45.374,00 ; 0,60 ; AETOS DS 11 ; N.V.C. DS 5 ; Sporthal Middachtensingel ; D10 ; MC8 
 45.374,00 ; 0,60 ; AETOS HS 8 ; Nuovo HS 3 ; Sporthal Middachtensingel ; D7 ; MC8 
 45.374,00 ; 0,60 ; AETOS MC 2 ; Surf MC 1 ; Sporthal Middachtensingel ; JA1 ; MC8 
 45.374,00 ; 0,69 ; AETOS HS 1 ; Heyendaal HS 1 ; Sporthal Middachtensingel ; x ; JB1 
 45.374,00 ; 0,69 ; AETOS MC 8 ; Scylla MC 1 ; Sporthal Middachtensingel ; JA1 ; JB1 
 45.374,00 ; 0,69 ; AETOS JA 2 ; Time Out'75 JA 1 ; Sporthal Middachtensingel ; D9 ; JB1 
 45.374,00 ; 0,77 ; AETOS DS 9 ; N.V.C. DS 4 ; Sporthal Middachtensingel ; H1 ; JA2 
 45.374,00 ; 0,77 ; AETOS HS 2 ; Pegasus HS 4 ; Sporthal Middachtensingel ; H1 ; JA2 
 45.374,00 ; 0,77 ; AETOS JB 1 ; D.O.S. JB 1 ; Sporthal Middachtensingel ; H1 ; MB4 
;;;;;;
;;;;;;
 45.379,00 ; 0,83 ; AETOS DS 1 ; Voorwaarts DS 2 ; Valkenhuizen ; x ; D3 
;;;;;;
;;;;;;
 45.386,00 ; 0,83 ; AETOS DS 5 ; Scylla DS 1 ; Valkenhuizen ; D6 ; D6 
 45.386,00 ; 0,83 ; AETOS DS 8 ; WSV DS 2 ; Valkenhuizen ; H2 ; H2 
;;;;;;
 45.387,00 ; 0,83 ; AETOS DS 6 ; Victoria DS 2 ; Sporthal Elderveld ; D5 ; D1 
;;;;;;
 45.388,00 ; 0,42 ; AETOS MC 2 ; EVV Bultman-Hartholt MC 1 ; Sporthal Middachtensingel ; H4 ; MC8 
 45.388,00 ; 0,42 ; AETOS MB 2 ; Pegasus MB 1 ; Sporthal Middachtensingel ; D3 ; JC1 
 45.388,00 ; 0,42 ; AETOS JA 1 ; Apollo 8 JA 1 ; Sporthal Middachtensingel ; D3 ; JC1 
 45.388,00 ; 0,50 ; AETOS DS 3 ; EVV Bultman-Hartholt DS 1 ; Sporthal Middachtensingel ; D1 ; MB2 
 45.388,00 ; 0,50 ; AETOS JC 1 ; Scylla JC 1 ; Sporthal Middachtensingel ; JA1 ; JA1 
 45.388,00 ; 0,50 ; AETOS MC 8 ; Gemini MC 1 ; Sporthal Middachtensingel ; MA1 ; MB2 
 45.388,00 ; 0,60 ; AETOS DS 1 ; Jumbo Van Andel-Ormi DS 1 ; Sporthal Middachtensingel ; x ; MC3 
 45.388,00 ; 0,60 ; AETOS JB 1 ; Weghorst Makelaardij WVC Volley JB 1 ; Sporthal Middachtensingel ; H4 ; MC6 
 45.388,00 ; 0,60 ; AETOS MA 1 ; Volleybalvereniging Zeewolde MA 1 ; Sporthal Middachtensingel ; H2 ; MC6 
 45.388,00 ; 0,69 ; AETOS HS 2 ; TiVoC HS 1 ; Sporthal Middachtensingel ; H1 ; JB1 
